iter	Passed	Remaining
668	853	422
669	855	421
670	856	419
671	857	418
672	859	417
673	860	416
674	861	414
675	862	413
676	863	412
677	864	410
678	866	409
679	867	408
680	868	406
681	869	405
682	870	404
683	871	402
684	873	401
685	875	400
686	876	399
687	877	397
688	878	396
689	879	395
690	880	393
691	882	392
692	883	391
693	884	390
694	885	388
695	886	387
696	888	386
697	890	385
698	891	383
699	892	382
700	893	381
701	894	379
702	895	378
703	896	377
704	898	375
705	899	374
706	900	373
707	901	371
708	902	370
709	904	369
710	905	368
711	907	366
712	908	365
713	909	364
714	910	362
715	911	361
716	912	360
717	914	358
718	915	357
719	916	356
720	917	355
721	919	353
722	920	352
723	922	351
724	923	350
725	924	348
726	925	347
727	926	346
728	927	344
729	928	343
730	930	342
731	931	340
732	932	339
733	934	338
734	935	337
735	937	336
736	938	334
737	939	333
738	941	332
739	942	331
740	943	329
741	944	328
742	945	327
743	947	325
744	948	324
745	950	323
746	951	322
747	952	320
748	953	319
749	954	318
750	956	316
751	957	315
752	958	314
753	959	313
754	960	311
755	961	310
756	963	309
757	965	308
758	966	306
759	967	305
760	968	304
761	969	302
762	970	301
763	972	300
764	973	298
765	974	297
766	975	296
767	976	295
768	978	293
769	980	292
770	982	291
771	983	290
772	985	289
773	986	288
774	988	286
775	989	285
776	990	284
777	991	283
778	993	281
779	995	280
780	997	279
781	998	278
782	999	277
783	1000	275
784	1002	274
785	1003	273
786	1004	271
787	1005	270
788	1006	269
789	1008	267
790	1009	266
791	1011	265
792	1012	264
793	1013	262
794	1014	261
795	1015	260
796	1017	259
797	1018	257
798	1019	256
799	1021	255
800	1022	254
801	1024	252
802	1025	251
803	1026	250
804	1028	249
805	1029	247
806	1031	246
807	1032	245
808	1034	244
809	1037	243
810	1038	242
811	1039	240
812	1041	239
813	1042	238
814	1043	236
815	1044	235
816	1045	234
817	1046	232
818	1047	231
819	1049	230
820	1051	229
821	1052	227
822	1054	226
823	1055	225
824	1056	224
825	1057	222
826	1059	221
827	1060	220
828	1061	219
829	1062	217
830	1064	216
831	1065	215
832	1066	213
833	1068	212
834	1069	211
835	1070	210
836	1071	208
837	1072	207
838	1073	206
839	1075	204
840	1076	203
841	1077	202
842	1078	200
843	1079	199
844	1080	198
845	1082	197
846	1083	195
847	1085	194
848	1086	193
849	1087	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1093	185
855	1094	184
856	1095	182
857	1097	181
858	1098	180
859	1099	179
860	1100	177
861	1102	176
862	1103	175
863	1104	173
864	1105	172
865	1106	171
866	1107	169
867	1109	168
868	1111	167
869	1112	166
870	1114	165
871	1116	163
872	1117	162
873	1119	161
874	1121	160
875	1123	158
876	1125	157
877	1127	156
878	1129	155
879	1131	154
880	1136	153
881	1137	152
882	1139	151
883	1142	149
884	1143	148
885	1145	147
886	1147	146
887	1148	144
888	1150	143
889	1151	142
890	1153	141
891	1158	140
892	1160	139
893	1162	137
894	1164	136
895	1165	135
896	1167	134
897	1170	132
898	1172	131
899	1174	130
900	1176	129
901	1178	128
902	1182	127
903	1211	128
904	1214	127
905	1217	126
906	1219	125
907	1221	123
908	1223	122
909	1225	121
910	1227	119
911	1231	118
912	1236	117
913	1240	116
914	1246	115
915	1249	114
916	1251	113
917	1253	111
918	1255	110
919	1257	109
920	1260	108
921	1262	106
922	1263	105
923	1266	104
924	1267	102
925	1269	101
926	1275	100
927	1313	101
928	1315	100
929	1317	99
930	1319	97
931	1324	96
932	1326	95
933	1327	93
934	1330	92
935	1332	91
936	1333	89
937	1335	88
938	1339	87
939	1341	85
940	1343	84
941	1349	83
942	1351	81
943	1354	80
944	1356	78
945	1358	77
946	1360	76
947	1362	74
948	1363	73
949	1366	71
950	1368	70
951	1383	69
952	1385	68
953	1387	66
954	1388	65
955	1390	64
956	1392	62
957	1394	61
958	1398	59
959	1400	58
960	1402	56
961	1403	55
962	1405	54
963	1407	52
964	1410	51
965	1414	49
966	1418	48
967	1420	46
968	1421	45
969	1423	44
970	1425	42
971	1428	41
972	1446	40
973	1448	38
974	1450	37
975	1451	35
976	1455	34
977	1456	32
978	1460	31
979	1462	29
980	1463	28
981	1465	26
982	1467	25
983	1470	23
984	1479	22
985	1481	21
986	1483	19
987	1484	18
988	1486	16
989	1489	15
990	1491	13
991	1493	12
992	1495	10
993	1496	9
994	1498	7
995	1500	6
996	1503	4
997	1506	3
998	1508	1
999	1509	0
